Город,Страна,lat,lng,Население,Аб2,Аб3
Токио,Япония,35.6839,139.7744,39105000.0,JP,JPN
Джакарта,Индонезия,-6.2146,106.8451,35362000.0,ID,IDN
Дели,Индия,28.6667,77.2167,31870000.0,IN,IND
Манила,Филиппины,45091,120.9833,23971000.0,PH,PHL
Сан-Паулу,Бразилия,-23.5504,-46.6339,22495000.0,BR,BRA
Сеул,Южная Корея,37.56,126.99,22394000.0,KR,KOR
Мумбаи,Индия,19.0758,72.8775,22186000.0,IN,IND
Шанхай,Китай,31.1667,121.4667,22118000.0,CN,CHN
Мехико,Мексика,19.4333,-99.1333,21505000.0,MX,MEX
Гуанчжоу,Китай,23.1288,113.259,21489000.0,CN,CHN
Каир,Египет,30.0444,31.2358,19787000.0,EG,EGY
Пекин,Китай,39.904,116.4075,19437000.0,CN,CHN
Нью-Йорк,Соединенные Штаты,40.6943,-73.9249,18713220.0,US,USA
Колкута,Индия,22.5727,88.3639,18698000.0,IN,IND
Москва,Россия,55.7558,37.6178,17693000.0,RU,RUS
Бангкок,Таиланд,13.75,100.5167,17573000.0,TH,THA
Дакка,Бангладеш,23.7289,90.3944,16839000.0,BD,BGD
Буэнос-Айрес,Аргентина,-34.5997,-58.3819,16216000.0,AR,ARG
ЕСака,Япония,34.752,135.4582,15490000.0,JP,JPN
Лагос,Нигерия,июн.45,03.апр,15487000.0,NG,NGA
Стамбул,Турция,41.01,28.9603,15311000.0,TR,TUR
Карачи,Пакистан,24.86,67.01,15292000.0,PK,PAK
Киншаса,Конго (Киншаса),-4.3317,15.3139,15056000.0,CD,COD
Шэньчжэнь,Китай,22.535,114.054,14678000.0,CN,CHN
Бангалор,Индия,дек.91,77.5913,13999000.0,IN,IND
Хошимин,Вьетнам,окт.67,106.6333,13954000.0,VN,VNM
Тегеран,Иран,35.7,51.4167,13819000.0,IR,IRN
Лос-Анджелес,Соединенные Штаты,34.1139,-118.4068,12750807.0,US,USA
Рио-де-Жанейро,Бразилия,-22.9083,-43.1964,12486000.0,BR,BRA
Чэнду,Китай,30.66,104.0633,11920000.0,CN,CHN
Баодин,Китай,38.8671,115.4845,11860000.0,CN,CHN
Ченнаи,Индия,13.0825,80.275,11564000.0,IN,IND
Лахор,Пакистан,31.5497,74.3436,11148000.0,PK,PAK
Лондон,Великобритания,51.5072,-0.1275,11120000.0,GB,GBR
Париж,Франция,48.8566,фев.22,11027000.0,FR,FRA
Тяньцзинь,Китай,39.1467,117.2056,10932000.0,CN,CHN
Линьи,Китай,35.0606,118.3425,10820000.0,CN,CHN
Шицзячжуан,Китай,38.0422,114.5086,10784600.0,CN,CHN
Чжэнчжоу,Китай,34.7492,113.6605,10136000.0,CN,CHN
Наньян,Китай,32.9987,112.5292,10013600.0,CN,CHN
Хайдарабад,Индия,17.3617,78.4747,9840000.0,IN,IND
Ухань,Китай,30.5872,114.2881,9729000.0,CN,CHN
Хандан,Китай,36.6116,114.4894,9549700.0,CN,CHN
Нагоя,Япония,35.1167,136.9333,9522000.0,JP,JPN
Вэйфан,Китай,36.7167,119.1,9373000.0,CN,CHN
Лима,Перу,-12.06,-77.0375,8992000.0,PE,PER
Чжоукоу,Китай,33.625,114.6418,8953172.0,CN,CHN
Луанда,Ангола,-8.8383,13.2344,8883000.0,AO,AGO
Ганьчжоу,Китай,25.8292,114.9336,8677600.0,CN,CHN
Туншань,Китай,34.261,117.1859,8669000.0,CN,CHN
Куала-Лумпур,Малайзия,3.1478,101.6953,8639000.0,MY,MYS
Чикаго,Соединенные Штаты,41.8373,-87.6862,8604203.0,US,USA
Хезе,Китай,35.2333,115.4333,8287693.0,CN,CHN
Чунцин,Китай,29.55,106.5069,8261000.0,CN,CHN
Ханой,Вьетнам,21.0245,105.8412,8246600.0,VN,VNM
Фуян,Китай,32.8986,115.8045,8200264.0,CN,CHN
Чанша,Китай,28.1987,112.9709,8154700.0,CN,CHN
Дунгуань,Китай,23.0475,113.7493,8142000.0,CN,CHN
Цзинин,Китай,35.4,116.5667,8081905.0,CN,CHN
Цзинань,Китай,36.6667,116.9833,7967400.0,CN,CHN
Пуна,Индия,18.5196,73.8553,7948000.0,IN,IND
Фошань,Китай,23.0292,113.1056,7905700.0,CN,CHN
Богота,Колумбия,апр.26,-74.0705,7743955.0,CO,COL
Ахмадабад,Индия,23.мар,72.58,7717000.0,IN,IND
Нанкин,Китай,32.05,118.7667,7729000.0,CN,CHN
Чанчунь,Китай,43.9,125.2,7674439.0,CN,CHN
Таншань,Китай,39.6292,118.1742,7577289.0,CN,CHN
Цанчжоу,Китай,38.3037,116.8452,7544300.0,CN,CHN
Дар-эс-Салам,Танзания,-6.8,39.2833,7461000.0,TZ,TZA
Хэфэй,Китай,31.8639,117.2808,7457027.0,CN,CHN
Гонконг,Гонконг,22.3069,114.1831,7398000.0,HK,HKG
Шаоян,Китай,27.2418,111.4725,7370500.0,CN,CHN
Чжаньцзян,Китай,21.1967,110.4031,7332000.0,CN,CHN
Шанцю,Китай,34.4259,115.6467,7325300.0,CN,CHN
Наньтун,Китай,31.9829,120.8873,7283622.0,CN,CHN
Яньчэн,Китай,33.3936,120.1339,7260240.0,CN,CHN
Наньнин,Китай,22.8192,108.315,7254100.0,CN,CHN
Хэньян,Китай,26.8968,112.5857,7243400.0,CN,CHN
Чжумадянь,Китай,32.9773,114.0253,7231234.0,CN,CHN
Шэньян,Китай,41.8039,123.4258,7208000.0,CN,CHN
Синтай,Китай,37.0659,114.4753,7104103.0,CN,CHN
Си ань,Китай,34.2667,108.9,7090000.0,CN,CHN
Сантьяго,Чили,-33.45,-70.6667,7026000.0,CL,CHL
